"Date"	"Age"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-11-01	"75-79"	33.56	2.32	14.48	"12.96-16.17"	31.24	"27.85-34.63"
2019-12-01	"75-79"	36.92	2.63	14.06	"12.65-15.61"	34.3	"30.74-37.85"
2020-01-01	"75-79"	36.54	2.56	14.28	"12.85-15.88"	33.98	"30.44-37.53"
2020-02-01	"75-79"	29.38	2.14	13.76	"12.23-15.47"	27.24	"24.07-30.42"
2020-03-01	"75-79"	34.15	2.36	14.45	"12.96-16.12"	31.79	"28.38-35.2"
2020-04-01	"75-79"	43.75	2.23	19.64	"17.8-21.67"	41.52	"37.7-45.35"
2020-05-01	"75-79"	27.07	1.96	13.83	"12.21-15.66"	25.12	"22.01-28.22"
2020-06-01	"75-79"	21.44	1.9	11.3	"9.82-12.99"	19.55	"16.74-22.35"
2020-07-01	"75-79"	23.93	1.91	12.52	"10.97-14.28"	22.02	"19.09-24.95"
2020-08-01	"75-79"	21.41	1.97	10.84	"9.45-12.43"	19.44	"16.69-22.18"
2020-09-01	"75-79"	23.82	1.99	11.98	"10.52-13.65"	21.83	"18.95-24.71"
2020-10-01	"75-79"	28.31	2.01	14.06	"12.47-15.85"	26.3	"23.18-29.41"
2020-11-01	"75-79"	25.4	1.77	14.39	"12.68-16.33"	23.64	"20.69-26.58"
2019-02-01	"80-84"	33.22	3.97	8.36	"7.64-9.14"	29.25	"26.6-31.9"
2019-03-01	"80-84"	28.98	3.79	7.66	"6.96-8.42"	25.2	"22.71-27.68"
2019-04-01	"80-84"	29.83	3.83	7.8	"7.1-8.56"	26	"23.48-28.52"
2019-05-01	"80-84"	30.73	3.63	8.47	"7.71-9.29"	27.1	"24.56-29.65"
2019-06-01	"80-84"	29.45	3.26	9.05	"8.22-9.95"	26.2	"23.72-28.67"
2019-07-01	"80-84"	28.12	3.58	7.86	"7.14-8.66"	24.54	"22.12-26.96"
2019-08-01	"80-84"	29.14	3.31	8.8	"8-9.68"	25.83	"23.38-28.28"
2019-09-01	"80-84"	29.44	3.33	8.85	"8.05-9.73"	26.11	"23.66-28.56"
2019-10-01	"80-84"	35.69	3.76	9.5	"8.71-10.36"	31.93	"29.24-34.63"
2019-11-01	"80-84"	34.84	3.94	8.84	"8.11-9.64"	30.9	"28.24-33.56"
2019-12-01	"80-84"	40.02	4.4	9.09	"8.38-9.85"	35.61	"32.76-38.46"
2020-01-01	"80-84"	37.66	4.28	8.81	"8.1-9.57"	33.38	"30.61-36.15"
2020-02-01	"80-84"	33.98	3.63	9.36	"8.57-10.22"	30.35	"27.72-32.97"
2020-03-01	"80-84"	37.11	3.96	9.38	"8.62-10.2"	33.15	"30.42-35.88"
2020-04-01	"80-84"	51.06	3.78	13.52	"12.55-14.57"	47.29	"44.11-50.46"
2020-05-01	"80-84"	29.14	3.29	8.86	"8.04-9.76"	25.85	"23.36-28.35"
2020-06-01	"80-84"	23	3.12	7.37	"6.62-8.21"	19.88	"17.63-22.13"
2020-07-01	"80-84"	25.68	3.16	8.13	"7.34-9.01"	22.52	"20.15-24.89"
2020-08-01	"80-84"	28.74	3.44	8.36	"7.59-9.21"	25.3	"22.83-27.77"
2020-09-01	"80-84"	27.6	3.29	8.39	"7.6-9.26"	24.31	"21.89-26.73"
2020-10-01	"80-84"	31.32	3.34	9.37	"8.53-10.28"	27.98	"25.41-30.55"
2020-11-01	"80-84"	27.92	3.1	9.01	"8.17-9.94"	24.82	"22.4-27.25"
2019-02-01	"85-89"	36.93	7.01	5.27	"4.89-5.69"	29.93	"27.55-32.3"
2019-03-01	"85-89"	33.28	6.38	5.22	"4.82-5.65"	26.91	"24.65-29.16"
2019-04-01	"85-89"	35.58	6.65	5.35	"4.95-5.78"	28.93	"26.61-31.25"
2019-05-01	"85-89"	32.54	6.46	5.04	"4.65-5.46"	26.08	"23.86-28.31"
2019-06-01	"85-89"	31.04	5.81	5.34	"4.92-5.8"	25.23	"23.07-27.39"
2019-07-01	"85-89"	30.98	5.85	5.3	"4.88-5.75"	25.13	"22.98-27.28"
2019-08-01	"85-89"	32.39	5.85	5.53	"5.11-6"	26.53	"24.35-28.72"
2019-09-01	"85-89"	30.97	5.78	5.36	"4.94-5.81"	25.19	"23.06-27.32"
2019-10-01	"85-89"	38.34	6.21	6.17	"5.73-6.65"	32.13	"29.77-34.48"
2019-11-01	"85-89"	40.77	6.69	6.1	"5.67-6.55"	34.09	"31.66-36.51"
2019-12-01	"85-89"	44.42	7.46	5.96	"5.56-6.38"	36.97	"34.44-39.49"
2020-01-01	"85-89"	42.01	7.6	5.53	"5.16-5.93"	34.42	"31.95-36.88"
2020-02-01	"85-89"	39.01	6.78	5.75	"5.35-6.19"	32.23	"29.85-34.61"
2020-03-01	"85-89"	41.15	7.1	5.79	"5.39-6.22"	34.05	"31.61-36.48"
2020-04-01	"85-89"	58.48	6.99	8.37	"7.85-8.91"	51.48	"48.61-54.36"
2020-05-01	"85-89"	35.06	5.59	6.27	"5.79-6.79"	29.47	"27.14-31.79"
2020-06-01	"85-89"	26.73	5.47	4.89	"4.47-5.35"	21.26	"19.2-23.32"
2020-07-01	"85-89"	26.41	5.43	4.87	"4.45-5.32"	20.98	"18.93-23.03"
2020-08-01	"85-89"	29.5	5.36	5.5	"5.05-5.99"	24.13	"21.99-26.27"
2020-09-01	"85-89"	29.24	5.39	5.43	"4.98-5.91"	23.86	"21.73-25.98"
2020-10-01	"85-89"	34.22	5.83	5.87	"5.42-6.35"	28.38	"26.09-30.67"
2020-11-01	"85-89"	30.95	5.56	5.57	"5.13-6.05"	25.39	"23.21-27.57"
2019-02-01	"90+"	44.8	14.02	3.19	"3-3.4"	30.78	"28.57-32.99"
2019-03-01	"90+"	40.4	13.01	3.1	"2.91-3.32"	27.38	"25.28-29.48"
2019-04-01	"90+"	39.79	13.09	3.04	"2.84-3.25"	26.69	"24.62-28.77"
2019-05-01	"90+"	40.87	12.33	3.31	"3.1-3.54"	28.54	"26.45-30.63"
2019-06-01	"90+"	36.45	11.03	3.3	"3.08-3.54"	25.42	"23.45-27.39"
2019-07-01	"90+"	38.21	10.88	3.51	"3.28-3.76"	27.32	"25.32-29.33"
2019-08-01	"90+"	36.7	11.15	3.29	"3.07-3.53"	25.55	"23.59-27.5"
2019-09-01	"90+"	36.45	11.19	3.26	"3.04-3.49"	25.26	"23.32-27.2"
2019-10-01	"90+"	44.5	12.83	3.47	"3.26-3.69"	31.67	"29.55-33.8"
2019-11-01	"90+"	45.64	13.29	3.43	"3.23-3.65"	32.35	"30.2-34.5"
2019-12-01	"90+"	51.37	15.55	3.3	"3.12-3.5"	35.83	"33.56-38.1"
2020-01-01	"90+"	49.84	15.69	3.18	"3-3.37"	34.15	"31.9-36.39"
2020-02-01	"90+"	44.4	13.26	3.35	"3.15-3.56"	31.14	"29.02-33.27"
2020-03-01	"90+"	46.93	14.65	3.2	"3.02-3.4"	32.28	"30.1-34.45"
2020-04-01	"90+"	62.43	14.36	4.35	"4.11-4.59"	48.06	"45.58-50.54"
2020-05-01	"90+"	42.93	11.72	3.66	"3.43-3.91"	31.21	"29.07-33.34"
2020-06-01	"90+"	32.49	10.27	3.16	"2.94-3.41"	22.22	"20.33-24.11"
2020-07-01	"90+"	33.4	10.71	3.12	"2.9-3.35"	22.69	"20.77-24.6"
2020-08-01	"90+"	36.43	10.87	3.35	"3.13-3.59"	25.56	"23.59-27.53"
2020-09-01	"90+"	35.18	10.85	3.24	"3.02-3.48"	24.33	"22.4-26.26"
2020-10-01	"90+"	39.11	12.09	3.24	"3.03-3.46"	27.02	"24.99-29.05"
2020-11-01	"90+"	35.96	11.28	3.19	"2.98-3.42"	24.68	"22.74-26.62"
