"Date"	"Age"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2020-10-01	"65-74"	24.71	1.14	21.76	"19.18-24.69"	23.57	"20.6-26.55"
2020-11-01	"65-74"	25.52	1.23	20.68	"18.28-23.41"	24.29	"21.27-27.3"
2020-12-01	"65-74"	28.14	1.36	20.73	"18.43-23.32"	26.78	"23.62-29.95"
2021-01-01	"65-74"	39.08	1.75	22.29	"20.18-24.62"	37.33	"33.63-41.03"
2021-02-01	"65-74"	22.26	1.21	18.43	"16.14-21.04"	21.05	"18.21-23.89"
2021-03-01	"65-74"	12.96	0.72	18.08	"15.19-21.52"	12.25	"10.07-14.42"
2019-02-01	"75-79"	29.88	2.27	13.14	"11.65-14.83"	27.61	"24.29-30.94"
2019-03-01	"75-79"	27.2	2.21	12.31	"10.86-13.97"	24.99	"21.82-28.17"
2019-04-01	"75-79"	26.16	2.22	11.8	"10.39-13.41"	23.94	"20.83-27.05"
2019-05-01	"75-79"	26.12	2.09	12.52	"11.02-14.23"	24.04	"20.94-27.14"
2019-06-01	"75-79"	25.41	2	12.74	"11.2-14.5"	23.42	"20.38-26.46"
2019-07-01	"75-79"	25.02	2.1	11.94	"10.5-13.58"	22.92	"19.93-25.92"
2019-08-01	"75-79"	23.8	1.99	11.97	"10.49-13.65"	21.81	"18.9-24.72"
2019-09-01	"75-79"	25.9	2.03	12.75	"11.24-14.46"	23.87	"20.85-26.88"
2019-10-01	"75-79"	29.44	2.21	13.3	"11.81-14.97"	27.22	"24.02-30.43"
2019-11-01	"75-79"	33.4	2.32	14.39	"12.88-16.08"	31.08	"27.69-34.47"
2019-12-01	"75-79"	36.95	2.63	14.05	"12.65-15.6"	34.32	"30.76-37.88"
2020-01-01	"75-79"	36.58	2.57	14.25	"12.82-15.84"	34.01	"30.47-37.56"
2020-02-01	"75-79"	29.32	2.14	13.67	"12.15-15.38"	27.18	"24-30.35"
2020-03-01	"75-79"	36.28	2.6	13.94	"12.55-15.49"	33.68	"30.17-37.19"
2020-04-01	"75-79"	84.41	3.45	24.45	"22.76-26.27"	80.96	"75.76-86.15"
2020-05-01	"75-79"	49.41	2.32	21.28	"19.35-23.4"	47.09	"42.94-51.24"
2020-06-01	"75-79"	26.34	2.04	12.9	"11.36-14.64"	24.3	"21.2-27.4"
2020-07-01	"75-79"	25.69	1.97	13.02	"11.46-14.79"	23.71	"20.68-26.75"
2020-08-01	"75-79"	22.27	2.03	10.96	"9.58-12.54"	20.24	"17.43-23.04"
2020-09-01	"75-79"	24.29	2.06	11.81	"10.38-13.43"	22.23	"19.32-25.14"
2020-10-01	"75-79"	30.98	2.35	13.19	"11.77-14.78"	28.63	"25.37-31.88"
2020-11-01	"75-79"	36.12	2.44	14.83	"13.34-16.48"	33.68	"30.2-37.17"
2020-12-01	"75-79"	36.32	2.84	12.78	"11.51-14.18"	33.48	"29.98-36.98"
2021-01-01	"75-79"	49.86	3.64	13.71	"12.54-14.98"	46.22	"42.14-50.31"
2021-02-01	"75-79"	30.08	2.43	12.38	"11.03-13.89"	27.65	"24.43-30.87"
2021-03-01	"75-79"	17.54	1.46	11.99	"10.3-13.95"	16.08	"13.61-18.55"
2019-02-01	"80-84"	33.24	3.98	8.36	"7.64-9.15"	29.27	"26.61-31.92"
2019-03-01	"80-84"	28.94	3.79	7.63	"6.94-8.4"	25.15	"22.67-27.63"
2019-04-01	"80-84"	29.95	3.83	7.81	"7.11-8.58"	26.12	"23.59-28.64"
2019-05-01	"80-84"	30.92	3.64	8.5	"7.75-9.33"	27.29	"24.73-29.84"
2019-06-01	"80-84"	29.47	3.26	9.04	"8.22-9.94"	26.21	"23.73-28.69"
2019-07-01	"80-84"	28.19	3.57	7.89	"7.17-8.68"	24.62	"22.2-27.04"
2019-08-01	"80-84"	29.17	3.32	8.78	"7.99-9.66"	25.85	"23.39-28.3"
2019-09-01	"80-84"	29.53	3.34	8.85	"8.06-9.73"	26.19	"23.73-28.65"
2019-10-01	"80-84"	35.66	3.76	9.49	"8.7-10.34"	31.9	"29.21-34.6"
2019-11-01	"80-84"	34.93	3.94	8.87	"8.14-9.67"	30.99	"28.33-33.66"
2019-12-01	"80-84"	39.96	4.42	9.05	"8.34-9.81"	35.54	"32.69-38.39"
2020-01-01	"80-84"	37.69	4.29	8.79	"8.08-9.55"	33.4	"30.62-36.17"
2020-02-01	"80-84"	34.05	3.65	9.33	"8.54-10.19"	30.4	"27.77-33.03"
2020-03-01	"80-84"	39.15	4.36	8.98	"8.28-9.74"	34.79	"31.99-37.6"
2020-04-01	"80-84"	92.59	5.95	15.56	"14.71-16.45"	86.64	"82.46-90.82"
2020-05-01	"80-84"	52.71	4.11	12.82	"11.9-13.81"	48.6	"45.28-51.91"
2020-06-01	"80-84"	29.06	3.44	8.46	"7.68-9.32"	25.63	"23.11-28.15"
2020-07-01	"80-84"	27.32	3.26	8.37	"7.58-9.25"	24.06	"21.62-26.5"
2020-08-01	"80-84"	29.25	3.52	8.31	"7.55-9.14"	25.73	"23.24-28.23"
2020-09-01	"80-84"	28.35	3.41	8.3	"7.54-9.15"	24.93	"22.48-27.38"
2020-10-01	"80-84"	34.95	3.87	9.03	"8.27-9.85"	31.08	"28.37-33.79"
2020-11-01	"80-84"	39.98	4.39	9.11	"8.4-9.89"	35.59	"32.71-38.47"
2020-12-01	"80-84"	43.74	4.76	9.18	"8.49-9.93"	38.97	"35.95-42"
2021-01-01	"80-84"	63.19	6.28	10.07	"9.43-10.75"	56.91	"53.3-60.52"
2021-02-01	"80-84"	38.14	4.24	8.99	"8.26-9.79"	33.9	"31.03-36.77"
2021-03-01	"80-84"	18.77	2.48	7.56	"6.7-8.53"	16.29	"14.24-18.33"
2019-02-01	"85-89"	36.77	7.04	5.23	"4.84-5.64"	29.73	"27.36-32.1"
2019-03-01	"85-89"	33.41	6.39	5.23	"4.83-5.66"	27.02	"24.76-29.28"
2019-04-01	"85-89"	35.59	6.67	5.34	"4.94-5.76"	28.92	"26.6-31.25"
2019-05-01	"85-89"	32.51	6.47	5.03	"4.64-5.44"	26.04	"23.81-28.26"
2019-06-01	"85-89"	31.05	5.82	5.33	"4.91-5.79"	25.22	"23.06-27.39"
2019-07-01	"85-89"	30.94	5.87	5.27	"4.86-5.72"	25.07	"22.92-27.22"
2019-08-01	"85-89"	32.38	5.86	5.52	"5.1-5.99"	26.52	"24.33-28.71"
2019-09-01	"85-89"	31	5.79	5.35	"4.93-5.81"	25.21	"23.07-27.34"
2019-10-01	"85-89"	38.34	6.21	6.17	"5.73-6.65"	32.13	"29.77-34.48"
2019-11-01	"85-89"	40.9	6.71	6.09	"5.67-6.55"	34.19	"31.76-36.62"
2019-12-01	"85-89"	44.42	7.47	5.95	"5.55-6.37"	36.95	"34.42-39.48"
2020-01-01	"85-89"	42.05	7.62	5.52	"5.15-5.92"	34.44	"31.97-36.91"
2020-02-01	"85-89"	38.97	6.81	5.72	"5.32-6.15"	32.16	"29.78-34.53"
2020-03-01	"85-89"	42.84	7.7	5.57	"5.19-5.96"	35.14	"32.65-37.63"
2020-04-01	"85-89"	94.91	10.65	8.91	"8.48-9.36"	84.25	"80.66-87.85"
2020-05-01	"85-89"	56.54	7.16	7.9	"7.41-8.43"	49.38	"46.46-52.3"
2020-06-01	"85-89"	31.33	6.05	5.18	"4.77-5.63"	25.28	"23.05-27.51"
2020-07-01	"85-89"	27.96	5.63	4.97	"4.55-5.42"	22.33	"20.23-24.44"
2020-08-01	"85-89"	30.31	5.45	5.56	"5.11-6.06"	24.86	"22.69-27.03"
2020-09-01	"85-89"	30.71	5.53	5.56	"5.11-6.04"	25.18	"23.01-27.36"
2020-10-01	"85-89"	38.15	6.57	5.81	"5.39-6.26"	31.58	"29.17-34"
2020-11-01	"85-89"	43.11	7.67	5.62	"5.24-6.03"	35.44	"32.89-37.99"
2020-12-01	"85-89"	46.31	8.65	5.35	"5.01-5.73"	37.66	"35.01-40.32"
2021-01-01	"85-89"	66.16	10.85	6.1	"5.76-6.46"	55.32	"52.16-58.47"
2021-02-01	"85-89"	44.6	7.38	6.04	"5.63-6.49"	37.22	"34.57-39.87"
2021-03-01	"85-89"	23.25	4.58	5.08	"4.61-5.6"	18.67	"16.72-20.62"
2019-02-01	"90+"	44.79	14.05	3.19	"2.99-3.4"	30.74	"28.53-32.95"
2019-03-01	"90+"	40.46	13.02	3.11	"2.91-3.32"	27.44	"25.34-29.54"
2019-04-01	"90+"	39.82	13.12	3.04	"2.84-3.24"	26.7	"24.62-28.79"
2019-05-01	"90+"	40.85	12.36	3.31	"3.09-3.53"	28.49	"26.39-30.59"
2019-06-01	"90+"	36.5	11.06	3.3	"3.08-3.54"	25.44	"23.46-27.41"
2019-07-01	"90+"	38.2	10.93	3.49	"3.26-3.74"	27.27	"25.26-29.27"
2019-08-01	"90+"	36.86	11.19	3.29	"3.07-3.53"	25.66	"23.7-27.63"
2019-09-01	"90+"	36.44	11.21	3.25	"3.03-3.48"	25.23	"23.29-27.17"
2019-10-01	"90+"	44.52	12.84	3.47	"3.26-3.69"	31.68	"29.55-33.82"
2019-11-01	"90+"	45.74	13.33	3.43	"3.23-3.65"	32.41	"30.26-34.56"
2019-12-01	"90+"	51.5	15.56	3.31	"3.13-3.51"	35.94	"33.67-38.22"
2020-01-01	"90+"	49.98	15.75	3.17	"2.99-3.36"	34.23	"31.98-36.48"
2020-02-01	"90+"	44.49	13.32	3.34	"3.14-3.55"	31.16	"29.04-33.29"
2020-03-01	"90+"	48.67	15.41	3.16	"2.98-3.35"	33.26	"31.05-35.47"
2020-04-01	"90+"	95.04	20.5	4.64	"4.43-4.85"	74.54	"71.53-77.55"
2020-05-01	"90+"	65.77	14.85	4.43	"4.19-4.68"	50.92	"48.3-53.53"
2020-06-01	"90+"	37.57	11.34	3.31	"3.09-3.55"	26.23	"24.2-28.26"
2020-07-01	"90+"	34.8	10.97	3.17	"2.95-3.41"	23.83	"21.87-25.78"
2020-08-01	"90+"	37.15	11.11	3.34	"3.12-3.58"	26.04	"24.05-28.04"
2020-09-01	"90+"	35.84	11.16	3.21	"2.99-3.44"	24.67	"22.72-26.63"
2020-10-01	"90+"	42.41	13.45	3.15	"2.96-3.36"	28.95	"26.84-31.06"
2020-11-01	"90+"	48.7	14.7	3.31	"3.12-3.51"	34	"31.75-36.24"
2020-12-01	"90+"	55.75	16.53	3.37	"3.19-3.57"	39.22	"36.81-41.62"
2021-01-01	"90+"	80.32	22.18	3.62	"3.46-3.8"	58.14	"55.28-61"
2021-02-01	"90+"	49.36	15.48	3.19	"3.01-3.39"	33.89	"31.57-36.2"
2021-03-01	"90+"	28.54	9.36	3.05	"2.82-3.3"	19.18	"17.38-20.97"
