"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"75-79"	2019-02-01	302	10077	32.11	"28.73-35.87"	1785	789762	2.42	"2.31-2.54"
"75-79"	2019-03-01	276	10079	26.5	"23.59-29.76"	1750	794227	2.13	"2.03-2.23"
"75-79"	2019-04-01	266	10143	26.22	"23.29-29.52"	1764	798291	2.21	"2.11-2.32"
"75-79"	2019-05-01	269	10193	25.54	"22.7-28.73"	1676	802968	2.02	"1.93-2.12"
"75-79"	2019-06-01	263	10321	25.48	"22.61-28.7"	1605	807408	1.99	"1.89-2.09"
"75-79"	2019-07-01	261	10438	24.2	"21.46-27.27"	1703	811618	2.03	"1.94-2.13"
"75-79"	2019-08-01	252	10549	23.12	"20.46-26.11"	1615	814633	1.92	"1.83-2.01"
"75-79"	2019-09-01	277	10663	25.98	"23.12-29.17"	1664	818155	2.03	"1.94-2.13"
"75-79"	2019-10-01	316	10675	28.65	"25.7-31.93"	1816	821989	2.14	"2.04-2.24"
"75-79"	2019-11-01	362	10816	33.47	"30.24-37.03"	1910	825876	2.31	"2.21-2.42"
"75-79"	2019-12-01	400	10805	35.83	"32.54-39.43"	2176	830754	2.53	"2.43-2.64"
"75-79"	2020-01-01	395	10785	35.44	"32.17-39.04"	2132	833155	2.48	"2.37-2.58"
"75-79"	2020-02-01	318	10863	30.28	"27.17-33.74"	1779	834517	2.21	"2.11-2.31"
"75-79"	2020-03-01	393	10922	34.82	"31.6-38.36"	2169	836017	2.51	"2.41-2.62"
"75-79"	2020-04-01	931	11008	84.57	"79.52-89.92"	2880	837081	3.44	"3.32-3.57"
"75-79"	2020-05-01	519	10486	47.9	"44.04-52.08"	1938	838417	2.24	"2.14-2.34"
"75-79"	2020-06-01	269	10245	26.26	"23.33-29.54"	1713	841298	2.04	"1.94-2.13"
"75-79"	2020-07-01	270	10432	25.05	"22.26-28.17"	1651	843878	1.89	"1.8-1.99"
"75-79"	2020-08-01	232	10635	21.11	"18.59-23.97"	1699	846641	1.94	"1.85-2.04"
"75-79"	2020-09-01	258	10743	24.02	"21.29-27.09"	1714	848193	2.02	"1.93-2.12"
"75-79"	2020-10-01	335	10881	29.79	"26.81-33.1"	1956	850699	2.23	"2.13-2.33"
"75-79"	2020-11-01	393	10989	35.76	"32.45-39.4"	2025	854441	2.37	"2.27-2.48"
"75-79"	2020-12-01	316	10960	27.9	"25.03-31.1"	1861	857153	2.1	"2.01-2.2"
"75-79"	2021-01-01	553	10898	49.11	"45.27-53.25"	3179	860044	3.58	"3.46-3.7"
"75-79"	2021-02-01	333	10816	32.99	"29.67-36.66"	2182	861894	2.71	"2.6-2.83"
"75-79"	2021-03-01	285	10837	25.45	"22.69-28.53"	1844	865811	2.06	"1.97-2.16"
"80-84"	2019-02-01	583	17541	35.61	"32.88-38.56"	2304	580377	4.25	"4.08-4.43"
"80-84"	2019-03-01	515	17563	28.38	"26.06-30.89"	2194	581608	3.65	"3.5-3.81"
"80-84"	2019-04-01	528	17562	30.06	"27.64-32.7"	2236	583123	3.83	"3.68-4"
"80-84"	2019-05-01	546	17661	29.92	"27.54-32.49"	2127	585079	3.52	"3.37-3.67"
"80-84"	2019-06-01	533	17920	29.74	"27.36-32.33"	1910	586571	3.26	"3.11-3.41"
"80-84"	2019-07-01	507	17940	27.35	"25.1-29.8"	2099	588110	3.45	"3.31-3.6"
"80-84"	2019-08-01	527	18128	28.13	"25.86-30.6"	1957	589400	3.21	"3.07-3.36"
"80-84"	2019-09-01	537	18251	29.42	"27.07-31.98"	1970	590816	3.33	"3.19-3.48"
"80-84"	2019-10-01	648	18224	34.41	"31.9-37.11"	2225	591329	3.64	"3.49-3.8"
"80-84"	2019-11-01	636	18267	34.82	"32.25-37.57"	2332	591606	3.94	"3.79-4.1"
"80-84"	2019-12-01	727	18180	38.7	"36.04-41.55"	2608	592129	4.26	"4.1-4.43"
"80-84"	2020-01-01	683	18117	36.48	"33.89-39.26"	2529	592584	4.13	"3.97-4.29"
"80-84"	2020-02-01	622	18332	35.1	"32.49-37.91"	2163	593149	3.77	"3.62-3.93"
"80-84"	2020-03-01	718	18411	37.74	"35.13-40.54"	2578	594164	4.2	"4.04-4.36"
"80-84"	2020-04-01	1717	18508	92.77	"88.68-97.04"	3527	594306	5.93	"5.74-6.13"
"80-84"	2020-05-01	922	17495	51	"47.89-54.3"	2435	593421	3.97	"3.82-4.13"
"80-84"	2020-06-01	497	17061	29.13	"26.71-31.76"	2033	592413	3.43	"3.29-3.58"
"80-84"	2020-07-01	468	17150	26.41	"24.15-28.87"	1925	592254	3.15	"3.01-3.29"
"80-84"	2020-08-01	514	17562	28.32	"26.01-30.84"	2061	592728	3.36	"3.22-3.51"
"80-84"	2020-09-01	495	17629	28.08	"25.74-30.62"	2011	594035	3.39	"3.24-3.54"
"80-84"	2020-10-01	616	17712	33.66	"31.14-36.37"	2253	593975	3.67	"3.52-3.83"
"80-84"	2020-11-01	709	17791	39.85	"37.08-42.83"	2541	593239	4.28	"4.12-4.45"
"80-84"	2020-12-01	620	17606	34.08	"31.54-36.81"	2198	592879	3.59	"3.44-3.74"
"80-84"	2021-01-01	1106	17475	61.25	"57.85-64.84"	3785	592839	6.18	"5.99-6.38"
"80-84"	2021-02-01	656	17104	41.09	"38.12-44.29"	2569	590077	4.66	"4.49-4.85"
"80-84"	2021-03-01	474	16958	27.05	"24.75-29.56"	2133	588305	3.51	"3.36-3.66"
"85-89"	2019-02-01	896	24275	39.55	"37.08-42.17"	2405	342414	7.53	"7.23-7.83"
"85-89"	2019-03-01	810	24386	32.14	"30.04-34.39"	2191	342974	6.18	"5.93-6.45"
"85-89"	2019-04-01	866	24413	35.47	"33.22-37.87"	2301	343722	6.69	"6.43-6.97"
"85-89"	2019-05-01	795	24487	31.42	"29.34-33.64"	2236	344559	6.28	"6.03-6.54"
"85-89"	2019-06-01	766	24759	30.94	"28.85-33.17"	2005	345157	5.81	"5.56-6.07"
"85-89"	2019-07-01	774	24949	30.02	"28.01-32.18"	2031	345942	5.68	"5.44-5.93"
"85-89"	2019-08-01	816	25224	31.31	"29.26-33.49"	2038	346668	5.69	"5.45-5.94"
"85-89"	2019-09-01	790	25473	31.01	"28.95-33.21"	2013	347416	5.79	"5.55-6.05"
"85-89"	2019-10-01	980	25564	37.1	"34.89-39.44"	2154	347834	5.99	"5.75-6.25"
"85-89"	2019-11-01	1047	25593	40.91	"38.55-43.41"	2341	348728	6.71	"6.45-6.99"
"85-89"	2019-12-01	1133	25563	42.89	"40.52-45.4"	2610	349395	7.23	"6.96-7.51"
"85-89"	2020-01-01	1068	25404	40.68	"38.36-43.14"	2657	349365	7.36	"7.09-7.64"
"85-89"	2020-02-01	996	25513	40.39	"38-42.92"	2368	348841	7.02	"6.75-7.31"
"85-89"	2020-03-01	1092	25513	41.42	"39.08-43.89"	2685	349515	7.43	"7.16-7.72"
"85-89"	2020-04-01	2425	25539	94.95	"91.42-98.61"	3716	349186	10.64	"10.31-10.99"
"85-89"	2020-05-01	1362	24082	54.73	"51.98-57.62"	2487	348488	6.91	"6.64-7.18"
"85-89"	2020-06-01	733	23444	31.27	"29.11-33.57"	2101	349307	6.01	"5.76-6.28"
"85-89"	2020-07-01	654	23517	26.91	"24.95-29.02"	1953	349785	5.4	"5.17-5.65"
"85-89"	2020-08-01	731	24007	29.47	"27.44-31.64"	1893	350613	5.22	"5-5.46"
"85-89"	2020-09-01	740	24156	30.63	"28.53-32.88"	1926	351335	5.48	"5.24-5.73"
"85-89"	2020-10-01	926	24220	37	"34.73-39.41"	2281	351874	6.27	"6.02-6.54"
"85-89"	2020-11-01	1040	24352	42.71	"40.24-45.32"	2661	352252	7.55	"7.27-7.85"
"85-89"	2020-12-01	917	24128	36.78	"34.52-39.19"	2422	351883	6.66	"6.4-6.93"
"85-89"	2021-01-01	1591	23843	64.58	"61.58-67.71"	3884	351801	10.68	"10.36-11.02"
"85-89"	2021-02-01	1047	23258	48.23	"45.46-51.17"	2667	350123	8.16	"7.86-8.48"
"85-89"	2021-03-01	739	23020	31.07	"28.94-33.35"	2255	349927	6.24	"5.98-6.5"
"90+"	2019-02-01	1511	33741	47.98	"45.67-50.4"	2506	178825	15.01	"14.44-15.61"
"90+"	2019-03-01	1367	33799	39.14	"37.16-41.22"	2338	179036	12.64	"12.14-13.16"
"90+"	2019-04-01	1362	33999	40.06	"38.03-42.2"	2338	179219	13.05	"12.53-13.58"
"90+"	2019-05-01	1404	34324	39.58	"37.61-41.66"	2229	180075	11.98	"11.49-12.48"
"90+"	2019-06-01	1269	34755	36.51	"34.59-38.54"	1994	180484	11.05	"10.58-11.54"
"90+"	2019-07-01	1347	35096	37.14	"35.25-39.14"	1979	181084	10.58	"10.12-11.05"
"90+"	2019-08-01	1316	35530	35.84	"33.99-37.79"	2026	181650	10.79	"10.34-11.27"
"90+"	2019-09-01	1310	35915	36.48	"34.59-38.46"	2043	182412	11.2	"10.73-11.69"
"90+"	2019-10-01	1605	36085	43.04	"41.03-45.15"	2347	182568	12.44	"11.95-12.95"
"90+"	2019-11-01	1665	36278	45.9	"43.79-48.1"	2426	182385	13.3	"12.79-13.84"
"90+"	2019-12-01	1871	36271	49.92	"47.76-52.17"	2837	182451	15.05	"14.51-15.61"
"90+"	2020-01-01	1806	36159	48.33	"46.21-50.55"	2867	182412	15.21	"14.67-15.77"
"90+"	2020-02-01	1610	36124	46.11	"43.95-48.36"	2409	181593	13.72	"13.19-14.28"
"90+"	2020-03-01	1763	36381	46.9	"44.81-49.08"	2812	182318	14.93	"14.39-15.48"
"90+"	2020-04-01	3472	36573	94.93	"91.97-97.98"	3736	181913	20.54	"19.9-21.2"
"90+"	2020-05-01	2291	34710	63.87	"61.39-66.45"	2688	181343	14.34	"13.82-14.89"
"90+"	2020-06-01	1261	33644	37.48	"35.5-39.56"	2051	181884	11.28	"10.8-11.77"
"90+"	2020-07-01	1178	33822	33.71	"31.87-35.65"	1997	182522	10.59	"10.14-11.06"
"90+"	2020-08-01	1288	34623	36	"34.12-37.98"	2017	183515	10.64	"10.18-11.11"
"90+"	2020-09-01	1247	34855	35.78	"33.88-37.78"	2036	184289	11.05	"10.58-11.54"
"90+"	2020-10-01	1491	35198	40.99	"39.01-43.08"	2455	184658	12.87	"12.37-13.38"
"90+"	2020-11-01	1719	35435	48.51	"46.32-50.8"	2685	185303	14.49	"13.96-15.04"
"90+"	2020-12-01	1601	35025	44.24	"42.17-46.4"	2445	185358	12.77	"12.27-13.28"
"90+"	2021-01-01	2804	34685	78.23	"75.5-81.06"	4155	185347	21.69	"21.05-22.36"
"90+"	2021-02-01	1676	33612	53.42	"50.99-55.97"	2885	183268	16.87	"16.27-17.49"
"90+"	2021-03-01	1311	33164	38.26	"36.28-40.34"	2418	182644	12.81	"12.31-13.33"
