"Gender"	"Date"	"Care_Home_Standardised_Rate"	"Care_Home_Confidence_Interval"	"Nursing_Home_Standardised_Rate"	"Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"M"	2019-12-01	29.34	"25.38-33.31"	51.1	"46.28-55.92"	3.71	"3.62-3.8"
"M"	2020-01-01	26.64	"23.29-29.99"	50.27	"45.59-54.94"	3.67	"3.58-3.76"
"M"	2020-02-01	20.68	"17.74-23.62"	43.57	"39.19-47.96"	3.2	"3.12-3.28"
"M"	2020-03-01	27.68	"24.02-31.33"	51.64	"46.92-56.35"	3.84	"3.75-3.93"
"M"	2020-04-01	69.02	"63.29-74.75"	115.68	"108.99-122.37"	5.22	"5.11-5.32"
"M"	2020-05-01	34.72	"30.65-38.79"	71.25	"65.72-76.79"	3.52	"3.43-3.61"
"M"	2020-06-01	20.17	"17.02-23.32"	36.15	"32.1-40.2"	2.89	"2.81-2.96"
"M"	2020-07-01	17.94	"15.05-20.83"	38.12	"33.77-42.48"	2.74	"2.66-2.82"
"M"	2020-08-01	21.46	"18.01-24.9"	37.81	"33.64-41.99"	2.79	"2.71-2.86"
"M"	2020-09-01	18.96	"15.97-21.96"	35.04	"31.16-38.92"	2.84	"2.76-2.92"
"M"	2020-10-01	27.5	"24.07-30.94"	41.18	"36.96-45.4"	3.28	"3.2-3.37"
"M"	2020-11-01	32.68	"28.67-36.68"	45.72	"41.23-50.2"	3.66	"3.57-3.75"
"M"	2020-12-01	28.99	"25.11-32.87"	39.16	"35.2-43.12"	3.21	"3.13-3.3"
"M"	2021-01-01	53.53	"48.75-58.31"	67.37	"62.18-72.56"	5.54	"5.43-5.65"
"M"	2021-02-01	29.74	"26.03-33.45"	44.13	"39.77-48.49"	3.76	"3.67-3.85"
"M"	2021-03-01	18.35	"15.63-21.06"	33.71	"30.03-37.4"	3.11	"3.02-3.19"
