"Time_Period"	"Cause_of_Death"	"Percentage"	"Count"
2019-12-01	"Cardiovascular Disease"	27.75	3634
2019-12-01	"Cancer"	27.3	3575
2019-12-01	"Other"	22.1	2895
2020-01-01	"Respiratory Disease"	18.09	2368
2020-01-01	"Dementia"	4.38	573
2020-01-01	"Cardiovascular Disease"	26.38	3454
2020-01-01	"Cancer"	27.77	3636
2020-01-01	"Other"	23.37	3060
2020-02-01	"Respiratory Disease"	16.42	1851
2020-02-01	"Dementia"	4.36	492
2020-02-01	"Cardiovascular Disease"	26.81	3023
2020-02-01	"Cancer"	29.83	3363
2020-02-01	"Other"	22.58	2546
2020-03-01	"Respiratory Disease"	15.63	2075
2020-03-01	"Dementia"	4.43	588
2020-03-01	"Cardiovascular Disease"	24.13	3203
2020-03-01	"Cancer"	26.91	3572
2020-03-01	"Other"	21.75	2887
2020-03-01	"COVID-19"	7.16	950
2020-04-01	"Respiratory Disease"	9.49	1676
2020-04-01	"Dementia"	3.69	651
2020-04-01	"Cardiovascular Disease"	18.16	3206
2020-04-01	"Cancer"	19.2	3389
2020-04-01	"Other"	17.25	3045
2020-04-01	"COVID-19"	32.21	5686
2020-05-01	"Respiratory Disease"	9.51	1174
2020-05-01	"Dementia"	3.84	474
2020-05-01	"Cardiovascular Disease"	23.59	2912
2020-05-01	"Cancer"	26.63	3287
2020-05-01	"Other"	19.47	2403
2020-05-01	"COVID-19"	16.96	2094
2020-06-01	"Respiratory Disease"	10.03	1042
2020-06-01	"Dementia"	3.26	338
2020-06-01	"Cardiovascular Disease"	26.97	2801
2020-06-01	"Cancer"	32.42	3367
2020-06-01	"Other"	20.78	2158
2020-06-01	"COVID-19"	6.53	678
2020-07-01	"Respiratory Disease"	10.11	1006
2020-07-01	"Dementia"	3.62	360
2020-07-01	"Cardiovascular Disease"	26.91	2679
2020-07-01	"Cancer"	34.34	3418
2020-07-01	"Other"	23.23	2312
2020-07-01	"COVID-19"	1.8	179
2020-08-01	"Respiratory Disease"	10.6	1074
2020-08-01	"Dementia"	3.35	340
2020-08-01	"Cardiovascular Disease"	27.79	2817
2020-08-01	"Cancer"	35.07	3555
2020-08-01	"Other"	22.45	2276
2020-08-01	"COVID-19"	0.73	74
2020-09-01	"Respiratory Disease"	10.67	1089
2020-09-01	"Dementia"	3.89	397
2020-09-01	"Cardiovascular Disease"	27.66	2823
2020-09-01	"Cancer"	33.33	3401
2020-09-01	"Other"	23.07	2354
2020-09-01	"COVID-19"	1.38	141
2020-10-01	"Respiratory Disease"	10.86	1284
2020-10-01	"Dementia"	3.77	446
2020-10-01	"Cardiovascular Disease"	26	3075
2020-10-01	"Cancer"	29.25	3459
2020-10-01	"Other"	21.08	2493
2020-10-01	"COVID-19"	9.05	1070
2020-11-01	"Respiratory Disease"	8.66	1135
2020-11-01	"Dementia"	3.34	438
2020-11-01	"Cardiovascular Disease"	22.54	2953
2020-11-01	"Cancer"	25.62	3356
2020-11-01	"Other"	18.21	2386
2020-11-01	"COVID-19"	21.62	2832
2020-12-01	"Respiratory Disease"	8.77	1290
2020-12-01	"Dementia"	3.15	463
2020-12-01	"Cardiovascular Disease"	23.36	3436
2020-12-01	"Cancer"	25.14	3697
2020-12-01	"Other"	16.79	2469
2020-12-01	"COVID-19"	22.79	3352
2021-01-01	"Respiratory Disease"	7.25	1385
2021-01-01	"Dementia"	2.75	526
2021-01-01	"Cardiovascular Disease"	19.15	3660
2021-01-01	"Cancer"	18.59	3552
2021-01-01	"Other"	14.08	2691
2021-01-01	"COVID-19"	38.18	7295
2021-02-01	"Respiratory Disease"	8.4	1099
2021-02-01	"Dementia"	3.43	449
2021-02-01	"Cardiovascular Disease"	22.57	2953
2021-02-01	"Cancer"	23.37	3058
2021-02-01	"Other"	16.73	2189
2021-02-01	"COVID-19"	25.51	3338
2021-03-01	"Respiratory Disease"	10.49	1156
2021-03-01	"Dementia"	3.56	392
2021-03-01	"Cardiovascular Disease"	27.74	3056
2021-03-01	"Cancer"	29.53	3253
2021-03-01	"Other"	20.87	2299
2021-03-01	"COVID-19"	7.8	859
