"Date"	"Age"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-11-01	"75-79"	33.47	2.31	14.47	"12.95-16.17"	31.16	"27.77-34.55"
2019-12-01	"75-79"	37.02	2.62	14.13	"12.73-15.7"	34.4	"30.84-37.96"
2020-01-01	"75-79"	36.62	2.56	14.31	"12.88-15.91"	34.07	"30.52-37.61"
2020-02-01	"75-79"	29.27	2.13	13.73	"12.21-15.45"	27.14	"23.97-30.31"
2020-03-01	"75-79"	33.97	2.37	14.34	"12.86-16"	31.6	"28.2-35"
2020-04-01	"75-79"	43.97	2.23	19.7	"17.86-21.74"	41.74	"37.91-45.57"
2020-05-01	"75-79"	27.18	1.96	13.89	"12.27-15.73"	25.22	"22.11-28.34"
2020-06-01	"75-79"	21.67	1.91	11.37	"9.9-13.07"	19.76	"16.94-22.58"
2020-07-01	"75-79"	24.25	1.91	12.68	"11.12-14.46"	22.34	"19.39-25.29"
2020-08-01	"75-79"	21.25	1.98	10.72	"9.34-12.3"	19.27	"16.53-22.01"
2020-09-01	"75-79"	23.74	1.99	11.91	"10.46-13.57"	21.74	"18.87-24.62"
2020-10-01	"75-79"	28.21	2.03	13.87	"12.3-15.63"	26.18	"23.07-29.29"
2020-11-01	"75-79"	25.84	1.78	14.52	"12.81-16.46"	24.06	"21.1-27.03"
2020-12-01	"75-79"	19.43	1.62	12.02	"10.42-13.87"	17.82	"15.23-20.4"
2021-01-01	"75-79"	22.76	2.16	10.52	"9.22-11.99"	20.59	"17.79-23.39"
2021-02-01	"75-79"	20.89	1.77	11.81	"10.28-13.56"	19.13	"16.43-21.82"
2021-03-01	"75-79"	23.99	1.94	12.39	"10.89-14.1"	22.06	"19.18-24.94"
2019-02-01	"80-84"	33.24	3.97	8.37	"7.65-9.16"	29.27	"26.61-31.92"
2019-03-01	"80-84"	29.32	3.77	7.77	"7.07-8.55"	25.55	"23.06-28.05"
2019-04-01	"80-84"	30.06	3.83	7.84	"7.14-8.61"	26.23	"23.7-28.76"
2019-05-01	"80-84"	30.92	3.64	8.5	"7.75-9.33"	27.28	"24.73-29.83"
2019-06-01	"80-84"	29.74	3.26	9.13	"8.31-10.04"	26.49	"24-28.97"
2019-07-01	"80-84"	28.26	3.57	7.92	"7.19-8.71"	24.69	"22.27-27.12"
2019-08-01	"80-84"	29.07	3.32	8.76	"7.96-9.63"	25.75	"23.31-28.2"
2019-09-01	"80-84"	29.42	3.33	8.82	"8.03-9.7"	26.09	"23.64-28.54"
2019-10-01	"80-84"	35.56	3.76	9.45	"8.67-10.3"	31.79	"29.11-34.48"
2019-11-01	"80-84"	34.82	3.94	8.83	"8.1-9.63"	30.88	"28.22-33.53"
2019-12-01	"80-84"	39.99	4.4	9.08	"8.37-9.84"	35.58	"32.74-38.43"
2020-01-01	"80-84"	37.7	4.27	8.83	"8.13-9.6"	33.43	"30.66-36.21"
2020-02-01	"80-84"	33.93	3.65	9.3	"8.52-10.16"	30.28	"27.66-32.9"
2020-03-01	"80-84"	36.99	3.95	9.36	"8.6-10.18"	33.04	"30.31-35.76"
2020-04-01	"80-84"	51.22	3.8	13.48	"12.51-14.52"	47.42	"44.25-50.6"
2020-05-01	"80-84"	29.27	3.29	8.89	"8.07-9.78"	25.97	"23.48-28.47"
2020-06-01	"80-84"	23.09	3.16	7.31	"6.57-8.14"	19.94	"17.68-22.19"
2020-07-01	"80-84"	25.71	3.18	8.07	"7.29-8.95"	22.53	"20.16-24.9"
2020-08-01	"80-84"	28.81	3.45	8.36	"7.59-9.2"	25.36	"22.89-27.84"
2020-09-01	"80-84"	27.62	3.3	8.36	"7.58-9.22"	24.32	"21.9-26.74"
2020-10-01	"80-84"	31.39	3.36	9.33	"8.51-10.24"	28.03	"25.46-30.6"
2020-11-01	"80-84"	28.22	3.12	9.03	"8.19-9.96"	25.09	"22.66-27.53"
2020-12-01	"80-84"	20.96	2.68	7.83	"7-8.76"	18.28	"16.17-20.4"
2021-01-01	"80-84"	32.27	3.65	8.84	"8.07-9.68"	28.62	"26-31.24"
2021-02-01	"80-84"	24.44	3.15	7.77	"7-8.63"	21.29	"18.98-23.61"
2021-03-01	"80-84"	25.36	3.32	7.64	"6.89-8.47"	22.04	"19.67-24.4"
2019-02-01	"85-89"	36.91	7.02	5.26	"4.87-5.67"	29.89	"27.51-32.26"
2019-03-01	"85-89"	33.22	6.39	5.2	"4.8-5.63"	26.83	"24.58-29.08"
2019-04-01	"85-89"	35.47	6.69	5.3	"4.91-5.72"	28.78	"26.46-31.1"
2019-05-01	"85-89"	32.47	6.49	5	"4.62-5.42"	25.98	"23.76-28.2"
2019-06-01	"85-89"	30.94	5.81	5.33	"4.91-5.78"	25.13	"22.97-27.29"
2019-07-01	"85-89"	31.02	5.87	5.28	"4.87-5.73"	25.15	"23-27.3"
2019-08-01	"85-89"	32.35	5.88	5.5	"5.08-5.96"	26.47	"24.29-28.65"
2019-09-01	"85-89"	31.01	5.79	5.35	"4.93-5.81"	25.22	"23.09-27.35"
2019-10-01	"85-89"	38.34	6.19	6.19	"5.75-6.67"	32.14	"29.79-34.5"
2019-11-01	"85-89"	40.91	6.71	6.09	"5.67-6.55"	34.2	"31.77-36.62"
2019-12-01	"85-89"	44.32	7.47	5.93	"5.54-6.35"	36.85	"34.33-39.37"
2020-01-01	"85-89"	42.04	7.61	5.53	"5.15-5.93"	34.44	"31.97-36.9"
2020-02-01	"85-89"	39.04	6.79	5.75	"5.35-6.19"	32.25	"29.87-34.63"
2020-03-01	"85-89"	41.12	7.12	5.77	"5.38-6.2"	33.99	"31.56-36.43"
2020-04-01	"85-89"	58.42	7.01	8.34	"7.83-8.88"	51.41	"48.54-54.29"
2020-05-01	"85-89"	35.38	5.61	6.31	"5.83-6.83"	29.77	"27.44-32.11"
2020-06-01	"85-89"	27.04	5.47	4.95	"4.53-5.41"	21.58	"19.5-23.65"
2020-07-01	"85-89"	26.53	5.47	4.85	"4.44-5.31"	21.06	"19.01-23.12"
2020-08-01	"85-89"	29.74	5.36	5.55	"5.1-6.05"	24.38	"22.24-26.53"
2020-09-01	"85-89"	29.64	5.41	5.48	"5.04-5.97"	24.24	"22.1-26.37"
2020-10-01	"85-89"	34.6	5.86	5.9	"5.45-6.39"	28.74	"26.44-31.04"
2020-11-01	"85-89"	30.92	5.62	5.5	"5.06-5.98"	25.3	"23.13-27.47"
2020-12-01	"85-89"	24.91	5.09	4.9	"4.47-5.37"	19.82	"17.86-21.79"
2021-01-01	"85-89"	32.38	6.39	5.06	"4.67-5.49"	25.99	"23.74-28.23"
2021-02-01	"85-89"	28.94	5.49	5.27	"4.84-5.75"	23.45	"21.3-25.6"
2021-03-01	"85-89"	29.06	5.85	4.97	"4.56-5.41"	23.21	"21.04-25.38"
2019-02-01	"90+"	44.78	14.01	3.2	"3-3.4"	30.77	"28.56-32.98"
2019-03-01	"90+"	40.44	13.06	3.1	"2.9-3.31"	27.39	"25.29-29.49"
2019-04-01	"90+"	40.06	13.05	3.07	"2.88-3.28"	27.01	"24.93-29.1"
2019-05-01	"90+"	40.9	12.38	3.3	"3.09-3.53"	28.53	"26.43-30.62"
2019-06-01	"90+"	36.51	11.05	3.3	"3.08-3.54"	25.46	"23.49-27.44"
2019-07-01	"90+"	38.38	10.93	3.51	"3.28-3.76"	27.45	"25.44-29.46"
2019-08-01	"90+"	37.04	11.15	3.32	"3.1-3.56"	25.89	"23.92-27.85"
2019-09-01	"90+"	36.48	11.2	3.26	"3.04-3.49"	25.28	"23.34-27.21"
2019-10-01	"90+"	44.48	12.86	3.46	"3.25-3.68"	31.62	"29.5-33.75"
2019-11-01	"90+"	45.9	13.3	3.45	"3.25-3.67"	32.59	"30.44-34.75"
2019-12-01	"90+"	51.58	15.55	3.32	"3.13-3.51"	36.03	"33.76-38.31"
2020-01-01	"90+"	49.95	15.72	3.18	"3-3.37"	34.23	"31.98-36.47"
2020-02-01	"90+"	44.57	13.27	3.36	"3.16-3.57"	31.3	"29.17-33.43"
2020-03-01	"90+"	46.81	14.76	3.17	"2.99-3.37"	32.05	"29.88-34.22"
2020-04-01	"90+"	62.64	14.55	4.31	"4.08-4.55"	48.1	"45.61-50.58"
2020-05-01	"90+"	43.1	11.77	3.66	"3.43-3.91"	31.33	"29.2-33.47"
2020-06-01	"90+"	32.49	10.31	3.15	"2.93-3.39"	22.18	"20.28-24.07"
2020-07-01	"90+"	33.65	10.74	3.13	"2.91-3.37"	22.9	"20.98-24.82"
2020-08-01	"90+"	36.65	10.91	3.36	"3.13-3.6"	25.74	"23.76-27.72"
2020-09-01	"90+"	35.2	10.91	3.23	"3.01-3.46"	24.29	"22.36-26.23"
2020-10-01	"90+"	39.18	12.19	3.21	"3.01-3.43"	26.99	"24.96-29.02"
2020-11-01	"90+"	36.01	11.37	3.17	"2.96-3.39"	24.64	"22.7-26.58"
2020-12-01	"90+"	32.41	9.95	3.26	"3.03-3.5"	22.45	"20.6-24.31"
2021-01-01	"90+"	42.04	13.34	3.15	"2.96-3.36"	28.69	"26.58-30.8"
2021-02-01	"90+"	33.44	11.44	2.92	"2.72-3.14"	22	"20.08-23.93"
2021-03-01	"90+"	35.97	12.04	2.99	"2.79-3.2"	23.93	"21.93-25.94"
