"Gender"	"over80"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	"Yes"	2020-10-01	31.67	"29.91-33.43"	5.6	"5.41-5.78"
"F"	"Yes"	2020-11-01	35.69	"33.83-37.55"	6.25	"6.06-6.44"
"F"	"Yes"	2020-12-01	39.13	"37.17-41.09"	6.94	"6.73-7.14"
"F"	"Yes"	2021-01-01	54.46	"52.17-56.75"	8.83	"8.6-9.06"
"M"	"No"	2019-02-01	31.16	"27.21-35.12"	1.71	"1.64-1.78"
"M"	"No"	2019-03-01	27.42	"23.76-31.09"	1.68	"1.61-1.75"
"M"	"No"	2019-04-01	26.93	"23.34-30.52"	1.71	"1.64-1.77"
"M"	"No"	2019-05-01	22.82	"19.43-26.21"	1.59	"1.52-1.65"
"M"	"No"	2019-06-01	29.24	"25.4-33.08"	1.59	"1.52-1.65"
"M"	"No"	2019-07-01	22.93	"19.62-26.23"	1.61	"1.54-1.67"
"M"	"No"	2019-08-01	24.22	"20.88-27.57"	1.55	"1.49-1.62"
"M"	"No"	2019-09-01	27.17	"23.44-30.9"	1.55	"1.49-1.61"
"M"	"No"	2019-10-01	26.33	"22.84-29.82"	1.68	"1.61-1.74"
"M"	"No"	2019-11-01	31.6	"27.72-35.47"	1.77	"1.7-1.84"
"M"	"No"	2019-12-01	35.51	"31.4-39.62"	1.91	"1.84-1.98"
"M"	"No"	2020-01-01	33.48	"29.62-37.34"	1.9	"1.83-1.97"
"M"	"No"	2020-02-01	27.14	"23.64-30.64"	1.66	"1.59-1.72"
"M"	"No"	2020-03-01	33.67	"29.75-37.58"	2	"1.92-2.07"
"M"	"No"	2020-04-01	80.46	"74.66-86.27"	2.67	"2.59-2.75"
"M"	"No"	2020-05-01	44.87	"40.42-49.33"	1.8	"1.73-1.86"
"M"	"No"	2020-06-01	23.79	"20.43-27.15"	1.55	"1.48-1.61"
"M"	"No"	2020-07-01	25.29	"21.82-28.76"	1.49	"1.43-1.56"
"M"	"No"	2020-08-01	25.72	"22.2-29.23"	1.55	"1.49-1.61"
"M"	"No"	2020-09-01	22.09	"18.91-25.28"	1.56	"1.5-1.62"
"M"	"No"	2020-10-01	29.44	"25.86-33.01"	1.73	"1.67-1.8"
"M"	"No"	2020-11-01	32.89	"29.03-36.75"	1.9	"1.83-1.97"
"M"	"No"	2020-12-01	34.84	"30.92-38.76"	2.07	"2-2.14"
"M"	"No"	2021-01-01	46.26	"41.87-50.64"	2.55	"2.47-2.63"
"M"	"Yes"	2019-02-01	49.84	"46.62-53.06"	7.97	"7.7-8.25"
"M"	"Yes"	2019-03-01	43.33	"40.27-46.38"	7.58	"7.31-7.86"
"M"	"Yes"	2019-04-01	46.24	"43.11-49.37"	7.8	"7.53-8.07"
"M"	"Yes"	2019-05-01	45.39	"42.3-48.49"	7.31	"7.05-7.58"
"M"	"Yes"	2019-06-01	43.69	"40.65-46.74"	6.45	"6.2-6.69"
"M"	"Yes"	2019-07-01	40.59	"37.71-43.46"	6.79	"6.54-7.04"
"M"	"Yes"	2019-08-01	43.86	"40.84-46.88"	6.59	"6.34-6.84"
"M"	"Yes"	2019-09-01	42.74	"39.8-45.69"	6.69	"6.44-6.94"
"M"	"Yes"	2019-10-01	51.21	"47.99-54.44"	7.42	"7.16-7.68"
"M"	"Yes"	2019-11-01	53.15	"49.89-56.4"	7.93	"7.66-8.2"
"M"	"Yes"	2019-12-01	57.83	"54.41-61.25"	8.92	"8.63-9.21"
"M"	"Yes"	2020-01-01	58.09	"54.65-61.52"	8.75	"8.47-9.04"
"M"	"Yes"	2020-02-01	50.48	"47.3-53.66"	7.67	"7.4-7.93"
"M"	"Yes"	2020-03-01	60.97	"57.46-64.48"	9.17	"8.88-9.46"
"M"	"Yes"	2020-04-01	135.94	"130.87-141.01"	12.58	"12.23-12.92"
"M"	"Yes"	2020-05-01	79.44	"75.31-83.57"	8.52	"8.23-8.8"
"M"	"Yes"	2020-06-01	43.27	"40.15-46.4"	6.74	"6.49-6.99"
"M"	"Yes"	2020-07-01	38.22	"35.25-41.19"	6.36	"6.11-6.6"
"M"	"Yes"	2020-08-01	42.3	"39.25-45.35"	6.43	"6.18-6.67"
"M"	"Yes"	2020-09-01	43.36	"40.28-46.45"	6.61	"6.36-6.86"
"M"	"Yes"	2020-10-01	51.65	"48.31-54.98"	7.85	"7.58-8.11"
"M"	"Yes"	2020-11-01	59.32	"55.76-62.88"	8.92	"8.63-9.2"
"M"	"Yes"	2020-12-01	66.33	"62.59-70.07"	9.97	"9.67-10.27"
"M"	"Yes"	2021-01-01	90.9	"86.52-95.28"	12.44	"12.1-12.78"
