"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"80-84"	2019-02-01		17541		"NA-NA"		580377		"NA-NA"
"80-84"	2019-03-01		17563		"NA-NA"		581608		"NA-NA"
"80-84"	2019-04-01		17562		"NA-NA"		583123		"NA-NA"
"80-84"	2019-05-01		17661		"NA-NA"		585079		"NA-NA"
"80-84"	2019-06-01		17920		"NA-NA"		586571		"NA-NA"
"80-84"	2019-07-01		17940		"NA-NA"		588110		"NA-NA"
"80-84"	2019-08-01		18128		"NA-NA"		589400		"NA-NA"
"80-84"	2019-09-01		18251		"NA-NA"		590816		"NA-NA"
"80-84"	2019-10-01		18224		"NA-NA"		591329		"NA-NA"
"80-84"	2019-11-01		18267		"NA-NA"		591606		"NA-NA"
"80-84"	2019-12-01		18180		"NA-NA"		592129		"NA-NA"
"80-84"	2020-01-01		18117		"NA-NA"		592584		"NA-NA"
"80-84"	2020-02-01		18332		"NA-NA"	22	593149	0.04	"0.03-0.06"
"80-84"	2020-03-01	341	18411	17.92	"16.13-19.91"	2870	594164	4.67	"4.51-4.85"
"80-84"	2020-04-01	1733	18508	93.64	"89.52-97.92"	6617	594306	11.13	"10.87-11.4"
"80-84"	2020-05-01	5819	17495	321.88	"315.16-328.67"	13083	593421	21.34	"20.98-21.7"
"80-84"	2020-06-01	2767	17061	162.18	"156.73-167.79"	13613	592413	22.98	"22.6-23.36"
"80-84"	2020-07-01	768	17150	43.34	"40.44-46.43"	16150	592254	26.39	"25.99-26.79"
"80-84"	2020-08-01	739	17562	40.72	"37.94-43.69"	16736	592728	27.32	"26.92-27.74"
"80-84"	2020-09-01	483	17629	27.4	"25.09-29.91"	15678	594035	26.39	"25.99-26.8"
"80-84"	2020-10-01	633	17712	34.59	"32.04-37.33"	17558	593975	28.61	"28.19-29.03"
"80-84"	2020-11-01	1005	17791	56.49	"53.19-59.98"	18516	593239	31.21	"30.77-31.66"
"80-84"	2020-12-01	1169	17606	64.26	"60.79-67.91"	17451	592879	28.48	"28.07-28.9"
"80-84"	2021-01-01	1740	17475	96.36	"92.15-100.74"	18966	592839	30.96	"30.53-31.4"
"80-84"	2021-02-01	437	17104	27.37	"24.95-30.02"	14357	590077	26.07	"25.65-26.49"
"80-84"	2021-03-01	129	16958	7.36	"6.2-8.74"	15310	588305	25.18	"24.79-25.58"
"85-89"	2019-02-01		24275		"NA-NA"		342414		"NA-NA"
"85-89"	2019-03-01		24386		"NA-NA"		342974		"NA-NA"
"85-89"	2019-04-01		24413		"NA-NA"		343722		"NA-NA"
"85-89"	2019-05-01		24487		"NA-NA"		344559		"NA-NA"
"85-89"	2019-06-01		24759		"NA-NA"		345157		"NA-NA"
"85-89"	2019-07-01		24949		"NA-NA"		345942		"NA-NA"
"85-89"	2019-08-01		25224		"NA-NA"		346668		"NA-NA"
"85-89"	2019-09-01		25473		"NA-NA"		347416		"NA-NA"
"85-89"	2019-10-01		25564		"NA-NA"		347834		"NA-NA"
"85-89"	2019-11-01		25593		"NA-NA"		348728		"NA-NA"
"85-89"	2019-12-01		25563		"NA-NA"		349395		"NA-NA"
"85-89"	2020-01-01		25404		"NA-NA"		349365		"NA-NA"
"85-89"	2020-02-01		25513		"NA-NA"	9	348841	0.03	"0.01-0.05"
"85-89"	2020-03-01	371	25513	14.07	"12.72-15.57"	2361	349515	6.54	"6.28-6.81"
"85-89"	2020-04-01	2208	25539	86.46	"83.07-89.97"	5718	349186	16.38	"15.96-16.8"
"85-89"	2020-05-01	8126	24082	326.55	"320.79-332.35"	11058	348488	30.71	"30.15-31.28"
"85-89"	2020-06-01	3866	23444	164.9	"160.21-169.71"	10489	349307	30.03	"29.47-30.6"
"85-89"	2020-07-01	1051	23517	43.25	"40.76-45.88"	10715	349785	29.64	"29.1-30.2"
"85-89"	2020-08-01	948	24007	38.21	"35.9-40.67"	11043	350613	30.48	"29.93-31.04"
"85-89"	2020-09-01	705	24156	29.19	"27.14-31.38"	10326	351335	29.39	"28.84-29.95"
"85-89"	2020-10-01	814	24220	32.52	"30.4-34.79"	11558	351874	31.79	"31.22-32.36"
"85-89"	2020-11-01	1368	24352	56.18	"53.35-59.14"	11967	352252	33.97	"33.38-34.58"
"85-89"	2020-12-01	1606	24128	64.41	"61.44-67.53"	11811	351883	32.48	"31.91-33.06"
"85-89"	2021-01-01	2432	23843	98.71	"95.05-102.49"	13075	351801	35.97	"35.37-36.58"
"85-89"	2021-02-01	602	23258	27.73	"25.63-30"	9720	350123	29.74	"29.17-30.33"
"85-89"	2021-03-01	177	23020	7.44	"6.43-8.62"	9826	349927	27.17	"26.65-27.71"
"90+"	2019-02-01		33741		"NA-NA"		178825		"NA-NA"
"90+"	2019-03-01		33799		"NA-NA"		179036		"NA-NA"
"90+"	2019-04-01		33999		"NA-NA"		179219		"NA-NA"
"90+"	2019-05-01		34324		"NA-NA"		180075		"NA-NA"
"90+"	2019-06-01		34755		"NA-NA"		180484		"NA-NA"
"90+"	2019-07-01		35096		"NA-NA"		181084		"NA-NA"
"90+"	2019-08-01		35530		"NA-NA"		181650		"NA-NA"
"90+"	2019-09-01		35915		"NA-NA"		182412		"NA-NA"
"90+"	2019-10-01		36085		"NA-NA"		182568		"NA-NA"
"90+"	2019-11-01		36278		"NA-NA"		182385		"NA-NA"
"90+"	2019-12-01		36271		"NA-NA"		182451		"NA-NA"
"90+"	2020-01-01		36159		"NA-NA"		182412		"NA-NA"
"90+"	2020-02-01		36124		"NA-NA"		181593		"NA-NA"
"90+"	2020-03-01	402	36381	10.69	"9.7-11.78"	1652	182318	8.77	"8.36-9.2"
"90+"	2020-04-01	2802	36573	76.61	"73.93-79.38"	4358	181913	23.96	"23.26-24.67"
"90+"	2020-05-01	12063	34710	336.33	"331.49-341.19"	9178	181343	48.98	"48.01-49.96"
"90+"	2020-06-01	5910	33644	175.66	"171.63-179.77"	7576	181884	41.65	"40.74-42.58"
"90+"	2020-07-01	1480	33822	42.35	"40.29-44.51"	6400	182522	33.93	"33.13-34.76"
"90+"	2020-08-01	1368	34623	38.24	"36.3-40.27"	6602	183515	34.81	"34-35.65"
"90+"	2020-09-01	1058	34855	30.35	"28.6-32.21"	6136	184289	33.3	"32.49-34.12"
"90+"	2020-10-01	1122	35198	30.85	"29.12-32.67"	6482	184658	33.97	"33.17-34.79"
"90+"	2020-11-01	1929	35435	54.44	"52.12-56.85"	7044	185303	38.01	"37.15-38.89"
"90+"	2020-12-01	2245	35025	62.03	"59.59-64.56"	7749	185358	40.46	"39.58-41.35"
"90+"	2021-01-01	3557	34685	99.24	"96.2-102.38"	8947	185347	46.71	"45.78-47.67"
"90+"	2021-02-01	816	33612	26.01	"24.31-27.83"	6261	183268	36.6	"35.72-37.5"
"90+"	2021-03-01	218	33164	6.36	"5.57-7.26"	5791	182644	30.68	"29.92-31.47"
