"Time_Period"	"Cause_of_Death"	"Percentage"	"Count"
2019-12-01	"Cardiovascular Disease"	27.75	3634
2019-12-01	"Cancer"	27.3	3575
2019-12-01	"Other"	22.1	2895
2020-01-01	"Respiratory Disease"	18.09	2368
2020-01-01	"Dementia"	4.38	573
2020-01-01	"Cardiovascular Disease"	26.38	3454
2020-01-01	"Cancer"	27.77	3636
2020-01-01	"Other"	23.37	3060
2020-02-01	"Respiratory Disease"	16.42	1851
2020-02-01	"Dementia"	4.36	492
2020-02-01	"Cardiovascular Disease"	26.81	3023
2020-02-01	"Cancer"	29.83	3363
2020-02-01	"Other"	22.58	2546
2020-03-01	"Respiratory Disease"	16.86	2071
2020-03-01	"Dementia"	4.78	587
2020-03-01	"Cardiovascular Disease"	25.92	3184
2020-03-01	"Cancer"	28.95	3556
2020-03-01	"Other"	23.5	2887
2020-04-01	"Respiratory Disease"	14.18	1666
2020-04-01	"Dementia"	5.42	637
2020-04-01	"Cardiovascular Disease"	26.39	3100
2020-04-01	"Cancer"	28.1	3301
2020-04-01	"Other"	25.92	3045
2020-05-01	"Respiratory Disease"	11.61	1171
2020-05-01	"Dementia"	4.53	457
2020-05-01	"Cardiovascular Disease"	28.15	2838
2020-05-01	"Cancer"	31.88	3214
2020-05-01	"Other"	23.83	2403
2020-06-01	"Respiratory Disease"	10.79	1037
2020-06-01	"Dementia"	3.49	335
2020-06-01	"Cardiovascular Disease"	28.6	2748
2020-06-01	"Cancer"	34.67	3331
2020-06-01	"Other"	22.46	2158
2020-07-01	"Respiratory Disease"	10.3	1004
2020-07-01	"Dementia"	3.65	356
2020-07-01	"Cardiovascular Disease"	27.37	2667
2020-07-01	"Cancer"	34.94	3405
2020-07-01	"Other"	23.73	2312
2020-08-01	"Respiratory Disease"	10.68	1073
2020-08-01	"Dementia"	3.38	340
2020-08-01	"Cardiovascular Disease"	27.97	2811
2020-08-01	"Cancer"	35.32	3549
2020-08-01	"Other"	22.65	2276
2020-09-01	"Respiratory Disease"	10.81	1086
2020-09-01	"Dementia"	3.92	394
2020-09-01	"Cardiovascular Disease"	28.01	2813
2020-09-01	"Cancer"	33.82	3397
2020-09-01	"Other"	23.44	2354
2020-10-01	"Respiratory Disease"	12	1278
2020-10-01	"Dementia"	4.12	439
2020-10-01	"Cardiovascular Disease"	28.39	3025
2020-10-01	"Cancer"	32.09	3419
2020-10-01	"Other"	23.4	2493
2020-11-01	"Respiratory Disease"	11.25	1122
2020-11-01	"Dementia"	4.16	415
2020-11-01	"Cardiovascular Disease"	28.2	2812
2020-11-01	"Cancer"	32.47	3238
2020-11-01	"Other"	23.92	2386
2020-12-01	"Respiratory Disease"	11.59	1266
2020-12-01	"Dementia"	3.91	427
2020-12-01	"Cardiovascular Disease"	29.58	3231
2020-12-01	"Cancer"	32.32	3530
2020-12-01	"Other"	22.6	2469
2021-01-01	"Respiratory Disease"	12.09	1354
2021-01-01	"Dementia"	4.23	474
2021-01-01	"Cardiovascular Disease"	30.01	3362
2021-01-01	"Cancer"	29.65	3322
2021-01-01	"Other"	24.02	2691
2021-02-01	"Respiratory Disease"	11.54	1079
2021-02-01	"Dementia"	4.35	407
2021-02-01	"Cardiovascular Disease"	29.69	2775
2021-02-01	"Cancer"	31	2898
2021-02-01	"Other"	23.42	2189
2021-03-01	"Respiratory Disease"	11.4	1141
2021-03-01	"Dementia"	3.7	370
2021-03-01	"Cardiovascular Disease"	29.89	2992
2021-03-01	"Cancer"	32.04	3207
2021-03-01	"Other"	22.97	2299
